MacroPlot Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
PIPO 14,5/12/1999 12:00:00 AM,2,1,1,L,,X,1,5,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,5/30/2000 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,5/30/2000 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,5/15/2003 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,5/15/2003 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,11/15/2005 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,11/15/2005 12:00:00 AM,1,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,11/15/2005 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,5/16/2006 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,5/16/2006 12:00:00 AM,1,1,1,L,,X,2,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,6/11/2007 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,6/11/2007 12:00:00 AM,1,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 14,6/11/2007 12:00:00 AM,2,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 14,5/26/2010 4:01:08 PM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 14,5/26/2010 4:01:08 PM,-2147483648,1,1,L,,,1,3,1,,,,,,,,,,,,,,,,PIED,,
PIPO 14,5/20/2015 11:52:00 AM,,,,,,,,,,,,,,1,1,10,25,250,ALI,KOEHLER,,,,,,True,
PIPO 10,10/12/1992 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 10,10/12/1992 12:00:00 AM,1,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,2,1,1,L,,X,16,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,3,1,1,D,,X,7,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,4,1,1,L,,X,20,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,5,1,1,D,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,6,1,1,D,,X,7,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,7,1,1,L,,X,63,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,8,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,9,1,1,L,,X,59,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,10,1,1,L,,X,13,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1992 12:00:00 AM,11,1,1,L,,X,11,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,12,1,1,L,,X,3,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,13,1,1,L,,X,4,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,14,1,1,L,,X,5,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,15,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,16,1,1,L,,X,7,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,17,1,1,L,,X,2,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1992 12:00:00 AM,18,1,1,L,,X,9,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1992 12:00:00 AM,19,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1992 12:00:00 AM,20,1,1,L,,X,2,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1992 12:00:00 AM,21,1,1,L,,X,3,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1992 12:00:00 AM,22,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1992 12:00:00 AM,23,1,1,L,,X,5,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1992 12:00:00 AM,24,1,1,L,,X,2,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1992 12:00:00 AM,25,1,1,L,,X,5,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1992 12:00:00 AM,26,1,1,L,,X,10,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1992 12:00:00 AM,27,1,1,L,,X,5,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,5/28/1993 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 10,5/28/1993 12:00:00 AM,1,1,1,D,,X,7,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,5/28/1993 12:00:00 AM,2,1,1,D,,X,16,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,5/28/1993 12:00:00 AM,3,1,1,D,,X,17,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,5/28/1993 12:00:00 AM,4,1,1,D,,X,34,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,5/28/1993 12:00:00 AM,5,1,1,D,,X,77,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,5/28/1993 12:00:00 AM,6,1,1,D,,X,22,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,5/28/1993 12:00:00 AM,7,1,1,D,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,5/28/1993 12:00:00 AM,8,1,1,D,,X,5,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,5/28/1993 12:00:00 AM,9,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,5/28/1993 12:00:00 AM,10,1,1,D,,X,3,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,5/28/1993 12:00:00 AM,11,1,1,D,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,5/28/1993 12:00:00 AM,12,1,1,D,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,5/28/1993 12:00:00 AM,13,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,5/28/1993 12:00:00 AM,14,1,1,D,,X,5,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,5/28/1993 12:00:00 AM,15,1,1,D,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,5/28/1993 12:00:00 AM,16,1,1,D,,X,1,4,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,5/28/1993 12:00:00 AM,17,1,1,D,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,5/28/1993 12:00:00 AM,18,1,1,D,,X,5,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,5/28/1993 12:00:00 AM,19,1,1,D,,X,2,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 10,10/12/1994 12:00:00 AM,1,1,1,L,,X,5,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,2,1,1,L,,X,22,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,3,1,1,L,,X,79,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,4,1,1,L,,X,21,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,5,1,1,D,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,6,1,1,L,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,7,1,1,L,,X,52,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,8,1,1,L,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,9,1,1,D,,X,8,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,10,1,1,D,,X,12,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,11,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,12,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,13,1,1,L,,X,5,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,14,1,1,D,,X,41,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,15,1,1,D,,X,3,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/12/1994 12:00:00 AM,16,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,17,1,1,D,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,18,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,19,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,20,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,21,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,22,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,23,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,24,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,25,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/12/1994 12:00:00 AM,26,1,1,D,,X,1,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,27,1,1,D,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,28,1,1,D,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,29,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,30,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,31,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,32,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,33,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,34,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,35,1,1,D,,X,1,4,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/12/1994 12:00:00 AM,36,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,37,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,38,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,39,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,40,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,41,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/12/1994 12:00:00 AM,42,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 10,10/17/1995 12:00:00 AM,1,1,1,L,,X,20,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,2,1,1,L,,X,10,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,3,1,1,L,,X,50,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,4,1,1,L,,X,60,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,5,1,1,D,,X,18,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,6,1,1,L,,X,34,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,7,1,1,L,,X,45,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,8,1,1,D,,X,26,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,9,1,1,L,,X,9,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,10,1,1,D,,X,27,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,11,1,1,D,,X,5,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,12,1,1,D,,X,3,4,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,10/17/1995 12:00:00 AM,13,1,1,L,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/17/1995 12:00:00 AM,14,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIED,,
PIPO 10,10/17/1995 12:00:00 AM,15,1,1,D,,X,3,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,16,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,17,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,18,1,1,D,,X,3,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,19,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,20,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,21,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,22,1,1,D,,X,3,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,23,1,1,D,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,24,1,1,D,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,10/17/1995 12:00:00 AM,25,1,1,D,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,26,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,27,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,28,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,29,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,30,1,1,D,,X,2,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,31,1,1,D,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,10/17/1995 12:00:00 AM,32,1,1,D,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,JUOS,,
PIPO 10,6/18/1998 12:00:00 AM,,,,,,,,,,,,,,1,1,10,25,250,,,,,,,,True,
PIPO 10,6/18/1998 12:00:00 AM,1,1,1,L,,X,35,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,2,1,1,D,,X,1,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,3,1,1,L,,X,70,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,4,1,1,L,,X,31,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,5,1,1,L,,X,70,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,6,1,1,D,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,7,1,1,L,,X,77,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,8,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,9,1,1,L,,X,36,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,10,1,1,L,,X,4,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,11,1,1,D,,X,5,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,12,1,1,D,,X,4,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,13,1,1,L,,X,1,3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,QUGA,,
PIPO 10,6/18/1998 12:00:00 AM,14,1,1,L,,X,2,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,6/18/1998 12:00:00 AM,15,1,1,D,,X,4,0.3,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
PIPO 10,6/18/1998 12:00:00 AM,16,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,,
