MacroPlot Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
PIPO 14,5/16/2006 12:00:00 AM,20,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ESVI,,
PIPO 14,5/16/2006 12:00:00 AM,21,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PAMU,,
PIPO 14,5/16/2006 12:00:00 AM,22,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,GEXX,,
PIPO 14,5/16/2006 12:00:00 AM,23,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LEIN,,
PIPO 14,5/16/2006 12:00:00 AM,24,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERCO,,
PIPO 14,5/16/2006 12:00:00 AM,25,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ASXX,,
PIPO 14,5/16/2006 12:00:00 AM,26,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PHLO,,
PIPO 14,6/11/2007 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
PIPO 14,6/11/2007 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,GERI,,
PIPO 14,6/11/2007 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ARNO,,
PIPO 14,6/11/2007 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TAOF,,
PIPO 14,6/11/2007 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERRA,,
PIPO 14,6/11/2007 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,OEXX,,
PIPO 14,6/11/2007 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PECE,,
PIPO 14,6/11/2007 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TOEX,,
PIPO 14,6/11/2007 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PEPA,,
PIPO 14,6/11/2007 12:00:00 AM,9,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LEAR,,
PIPO 14,6/11/2007 12:00:00 AM,10,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LIXX,,
PIPO 14,6/11/2007 12:00:00 AM,11,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,THMO,,
PIPO 14,6/11/2007 12:00:00 AM,12,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SPXX,,
PIPO 14,6/11/2007 12:00:00 AM,13,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TRDU,,
PIPO 14,6/11/2007 12:00:00 AM,14,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PAMU,,
PIPO 14,6/11/2007 12:00:00 AM,15,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,EUXX,,
PIPO 14,6/11/2007 12:00:00 AM,16,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERCO,,
PIPO 14,5/26/2010 4:01:08 PM,,,,,,,,,,,,,,,,,,,,True,
PIPO 14,5/26/2010 4:01:08 PM,-2147483648,L,,,,,,,,,,,,,,,,,PEPA,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483647,L,,,,,,,,,,,,,,,,,BRTE,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483646,L,,,,,,,,,,,,,,,,,TOEX,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483645,L,,,,,,,,,,,,,,,,,SPXX,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483644,L,,,,,,,,,,,,,,,,,AGGL,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483643,L,,,,,,,,,,,,,,,,,VIAM,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483642,L,,,,,,,,,,,,,,,,,VETH,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483641,L,,,,,,,,,,,,,,,,,LOFO,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483640,L,,,,,,,,,,,,,,,,,PECE,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483639,L,,,,,,,,,,,,,,,,,ESVI,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483638,L,,,,,,,,,,,,,,,,,ERRA,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483637,L,,,,,,,,,,,,,,,,,CIXX,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483635,L,,,,,,,,,,,,,,,,,PEPU,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483634,L,,,,,,,,,,,,,,,,,CHFE,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483633,L,,,,,,,,,,,,,,,,,TAOF,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483632,L,,,,,,,,,,,,,,,,,PEBA,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483631,L,,,,,,,,,,,,,,,,,CANU,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483630,L,,,,,,,,,,,,,,,,,ERXX,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483628,L,,,,,,,,,,,,,,,,,MIGR,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483627,L,,,,,,,,,,,,,,,,,HIFE,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483626,L,,,,,,,,,,,,,,,,,PAMU,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483625,L,,,,,,,,,,,,,,,,,KOMA,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483624,L,,,,,,,,,,,,,,,,,LIMU,,
PIPO 14,5/26/2010 4:01:08 PM,-2147483623,L,,,,,,,,,,,,,,,,,EUBR,,
PIPO 14,5/20/2015 11:52:00 AM,,,,,,,,,,,,,ALI;  HAMBY; KOEHLER,KOEHLER,,,,,,True,
PIPO 14,5/20/2015 11:52:00 AM,-2147483648,L,,,,,,,,,,,,,,,,,ERRA,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483647,L,,,,,,,,,,,,,,,,,TRDU,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483646,L,,,,,,,,,,,,,,,,,PAMU,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483645,L,,,,,,,,,,,,,,,,,MARE,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483644,L,,,,,,,,,,,,,,,,,GECA,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483643,L,,,,,,,,,,,,,,,,,SPXX,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483642,L,,,,,,,,,,,,,,,,,ASXX-A,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483641,L,,,,,,,,,,,,,,,,,ERXX2,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483640,L,,,,,,,,,,,,,,,,,PEBA,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483639,L,,,,,,,,,,,,,,,,,FXXX,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483638,L,,,,,,,,,,,,,,,,,HYFI,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483637,L,,,,,,,,,,,,,,,,,ARCA,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483636,L,,,,,,,,,,,,,,,,,ASXX-B,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483635,L,,,,,,,,,,,,,,,,,IPAG,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483634,L,,,,,,,,,,,,,,,,,CAXX2,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483633,L,,,,,,,,,,,,,,,,,PEPA,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483632,L,,,,,,,,,,,,,,,,,CAXX,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483631,L,,,,,,,,,,,,,,,,,LEIN,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483630,L,,,,,,,,,,,,,,,,,ANPA,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483629,L,,,,,,,,,,,,,,,,,LOFO,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483628,L,,,,,,,,,,,,,,,,,PECE,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483627,L,,,,,,,,,,,,,,,,,LIMU,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483626,L,,,,,,,,,,,,,,,,,PEPU,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483625,L,,,,,,,,,,,,,,,,,MEAR,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483624,L,,,,,,,,,,,,,,,,,ERXX,,
PIPO 14,5/20/2015 11:52:00 AM,-2147483623,L,,,,,,,,,,,,,,,,,LILE,,
PIPO 10,10/12/1992 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
PIPO 10,10/12/1992 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ELEL,,
PIPO 10,10/12/1992 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SOXX,,
PIPO 10,10/12/1992 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,HYFI,,
PIPO 10,10/12/1992 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,YUAN,,
PIPO 10,10/12/1992 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,MARE,,
PIPO 10,10/12/1992 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TOEX,,
PIPO 10,10/12/1992 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PEPA,,
PIPO 10,10/12/1992 12:00:00 AM,9,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PEXX,,
PIPO 10,10/12/1992 12:00:00 AM,10,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,THMO,,
PIPO 10,10/12/1992 12:00:00 AM,11,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOUT,,
PIPO 10,10/12/1992 12:00:00 AM,12,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SEXX,,
PIPO 10,10/12/1992 12:00:00 AM,13,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ASXX,,
PIPO 10,10/12/1992 12:00:00 AM,14,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERXX2,,
PIPO 10,6/18/1998 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
PIPO 10,6/18/1998 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SPPA,,
PIPO 10,6/18/1998 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ELEL,,
PIPO 10,6/18/1998 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,HYFI,,
PIPO 10,6/18/1998 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERRA,,
PIPO 10,6/18/1998 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TOEX,,
PIPO 10,6/18/1998 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TEAC,,
PIPO 10,6/18/1998 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PAMU,,
PIPO 10,5/22/2001 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
PIPO 10,5/22/2001 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CIXX,,
PIPO 10,5/22/2001 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,SPPA,,
PIPO 10,5/22/2001 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LIIN,,
PIPO 10,5/22/2001 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,HYFI,,
PIPO 10,5/22/2001 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERRA,,
PIPO 10,5/22/2001 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,DEXX,,
PIPO 10,5/22/2001 12:00:00 AM,7,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TECA,,
PIPO 10,5/22/2001 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FRAL,,
PIPO 10,5/22/2001 12:00:00 AM,9,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,BOGR,,
PIPO 10,5/22/2001 12:00:00 AM,10,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,DRCU,,
PIPO 10,5/22/2001 12:00:00 AM,11,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LAOC,,
PIPO 10,5/22/2001 12:00:00 AM,12,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TOEX,,
PIPO 10,5/22/2001 12:00:00 AM,13,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PEPA,,
PIPO 10,5/22/2001 12:00:00 AM,14,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,BRXX,,
PIPO 10,5/22/2001 12:00:00 AM,15,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,THMO,,
PIPO 10,5/22/2001 12:00:00 AM,16,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,LOUT,,
PIPO 10,5/22/2001 12:00:00 AM,17,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,EUXX,,
PIPO 10,5/22/2001 12:00:00 AM,18,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ASXX,,
PIPO 10,5/22/2001 12:00:00 AM,19,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,PHLO,,
PIPO 10,4/29/2002 12:00:00 AM,,,,,,,,,,,,,,,,,,,,True,
PIPO 10,4/29/2002 12:00:00 AM,1,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,CIXX,,
PIPO 10,4/29/2002 12:00:00 AM,2,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ELEL,,
PIPO 10,4/29/2002 12:00:00 AM,3,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,MUXX,,
PIPO 10,4/29/2002 12:00:00 AM,4,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,HYFI,,
PIPO 10,4/29/2002 12:00:00 AM,5,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,ERRA,,
PIPO 10,4/29/2002 12:00:00 AM,6,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,HEXX,,
PIPO 10,4/29/2002 12:00:00 AM,8,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,FRAL,,
PIPO 10,4/29/2002 12:00:00 AM,9,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,EUBR,,
PIPO 10,4/29/2002 12:00:00 AM,10,L,,,,,From FMH TRANOBS 1064,,, tranq4_ALL,,,,,,,,,TOEX,,
