MacroPlot Name,Date,Index,Transect,Point,TapeDist,Veg,Sub,Comment,UV1,UV2,UV3,NumTran,TranLen,NumPtsTran,PlotType,PtArea,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPO 14,9/30/1993 12:00:00 AM,32,4,2,5,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,33,4,3,10,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,34,4,4,15,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,35,4,5,20,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,36,4,6,25,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,37,4,7,30,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,38,4,8,35,0,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,39,4,9,40,0,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,9/30/1993 12:00:00 AM,40,4,10,45,0,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,,,,,,,,,,,4,50,10,Forest,,,,,,,,True,
PIPO 14,7/18/1998 12:00:00 AM,1,1,1,1,0,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,2,1,2,5,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,3,1,3,10,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,4,1,4,15,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,5,1,5,20,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,6,1,6,25,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,7,1,7,30,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,8,1,8,35,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,9,1,9,40,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,10,1,10,45,0,0,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,11,2,1,1,5,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,12,2,2,5,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,13,2,3,10,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,14,2,4,15,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,15,2,5,20,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,16,2,6,25,4,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,17,2,7,30,0,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,18,2,8,35,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,19,2,9,40,0,0,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,20,2,10,45,4,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,21,3,1,1,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,22,3,2,5,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,23,3,3,10,4,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,24,3,4,15,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,25,3,5,20,0,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,26,3,6,25,0,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,27,3,7,30,4,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,28,3,8,35,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,29,3,9,40,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,30,3,10,45,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,31,4,1,1,4,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,32,4,2,5,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,33,4,3,10,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,34,4,4,15,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,35,4,5,20,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,36,4,6,25,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,37,4,7,30,0,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,38,4,8,35,0,3,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,39,4,9,40,0,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,7/18/1998 12:00:00 AM,40,4,10,45,0,3,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,,,,,,,,,,,4,50,10,Forest,,,,,,,,True,
PIPO 14,11/15/2005 12:00:00 AM,1,1,1,1,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,2,1,2,5,0,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,3,1,3,10,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,4,1,4,15,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,5,1,5,20,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,6,1,6,25,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,7,1,7,30,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,8,1,8,35,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,9,1,9,40,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,10,1,10,45,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,11,2,1,1,4,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,12,2,2,5,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,13,2,3,10,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,14,2,4,15,5,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,15,2,5,20,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,16,2,6,25,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,17,2,7,30,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,18,2,8,35,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,19,2,9,40,4,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,20,2,10,45,4,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,21,3,1,1,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,22,3,2,5,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,23,3,3,10,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,24,3,4,15,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,25,3,5,20,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,26,3,6,25,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,27,3,7,30,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,28,3,8,35,4,3,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,29,3,9,40,0,2,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,30,3,10,45,0,3,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,31,4,1,1,4,3,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,32,4,2,5,4,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,33,4,3,10,5,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,34,4,4,15,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,35,4,5,20,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,36,4,6,25,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,37,4,7,30,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,38,4,8,35,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,39,4,9,40,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 14,11/15/2005 12:00:00 AM,40,4,10,45,5,5,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,,,,,,,,,,,4,50,10,Forest,,,,,,,,True,
PIPO 10,5/28/1993 12:00:00 AM,1,1,1,1,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,2,1,2,5,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,3,1,3,10,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,4,1,4,15,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,5,1,5,20,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,6,1,6,25,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,7,1,7,30,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,8,1,8,35,0,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,9,1,9,40,0,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,10,1,10,45,4,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,11,2,1,1,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,12,2,2,5,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,13,2,3,10,2,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,14,2,4,15,4,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,15,2,5,20,4,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,16,2,6,25,5,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,17,2,7,30,5,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,18,2,8,35,5,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,19,2,9,40,5,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,20,2,10,45,5,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,21,3,1,1,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,22,3,2,5,3,3,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,23,3,3,10,3,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,24,3,4,15,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,25,3,5,20,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,26,3,6,25,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,27,3,7,30,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,28,3,8,35,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,29,3,9,40,4,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,30,3,10,45,5,5,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,31,4,1,1,0,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,32,4,2,5,0,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,33,4,3,10,4,3,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,34,4,4,15,0,3,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,35,4,5,20,0,1,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,36,4,6,25,1,1,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,37,4,7,30,2,2,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,38,4,8,35,4,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,39,4,9,40,4,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,5/28/1993 12:00:00 AM,40,4,10,45,4,4,From FMH SEVERITY 1062,,, fuel4_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,,,,,,,,,,,4,50,10,Forest,,,,,,,,True,
PIPO 10,6/14/2000 12:00:00 AM,1,1,1,1,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,2,1,2,5,5,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,3,1,3,10,0,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,4,1,4,15,0,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,5,1,5,20,4,3,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,6,1,6,25,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,7,1,7,30,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,8,1,8,35,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,9,1,9,40,0,5,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,10,1,10,45,0,4,From FMH SEVERITY 1062,,, fuel1_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,11,2,1,1,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,12,2,2,5,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,13,2,3,10,0,3,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,14,2,4,15,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,15,2,5,20,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,16,2,6,25,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,17,2,7,30,0,5,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,18,2,8,35,0,4,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,19,2,9,40,0,0,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,20,2,10,45,0,0,From FMH SEVERITY 1062,,, fuel2_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,21,3,1,1,0,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,22,3,2,5,0,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,23,3,3,10,0,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
PIPO 10,6/14/2000 12:00:00 AM,24,3,4,15,3,4,From FMH SEVERITY 1062,,, fuel3_ALL,,,,,,,,,,,,,
